Id_loisirs,Type_loisirs
L1,Piscine
L2,Boulodrome 
L3,Tennis
L4,Cyclisme
L5,Domaine_skiable
L6,Centre_equestre
L7,Athletisme
L8,Terrain_golf
L9,Parcours_sportifs
L10,Plateaux_sportifs
L11,Terrains_jeux
L12,Salles_combat
L13,Skatepark
L14,Bowling
L15,Salles_remise_forme
L16,Gymnase
L17,Port
L18,Randonnee
L19,Cinema
L20,Musee
L21,Conservatoire
L22,Theatre
